totcper	totcinc	food	alta	age	dcoast	dmiddle	dwest
1731.1	1538.0	 867.1	   7.5	54.5	0	1	0
 738.6	 714.5	 484.3	  14.8	60.5	0	1	0
1164.0	1564.4	 523.0	   8.6	57.5	0	1	0
1126.9	1232.7	 626.2	  35.7	45.0	0	1	0
3317.0	2683.3	 585.6	  16.3	37.5	0	1	0
5061.9	3538.8	 819.1	  34.0	48.5	0	1	0
1852.7	1784.0	 798.4	  26.7	47.5	0	1	0
1463.4	2184.5	 744.2	   2.8	46.5	0	1	0
1278.0	2611.8	 699.3	  17.5	42.0	0	1	0
2119.8	2527.8	 696.0	  17.2	51.0	0	1	0
1746.3	1787.3	 917.7	  16.0	66.5	0	1	0
2026.8	1688.3	 557.8	   6.7	39.5	0	1	0
1917.7	1887.2	 339.5	   0.0	55.0	0	1	0
1705.4	1790.0	 614.4	   8.3	35.0	0	1	0
1508.1	1778.6	 454.9	  11.6	46.0	0	1	0
1152.0	1638.3	 667.0	   0.0	33.5	0	1	0
 887.4	1945.7	 691.9	   9.2	51.5	0	1	0
 719.5	1740.0	 588.9	   0.0	56.5	0	1	0
2734.9	2200.0	 454.7	  25.8	38.0	0	1	0
1888.8	2424.3	 801.3	  18.3	51.5	0	1	0
3718.0	3103.0	 853.5	  39.0	37.0	0	1	0
2603.3	3010.3	 862.9	   4.0	45.5	0	1	0
1140.3	2121.0	 799.8	   0.0	42.5	0	1	0
1381.6	1015.8	 826.3	   0.0	41.0	0	1	0
1208.5	1389.2	 704.5	   0.5	35.0	0	1	0
3352.8	2064.0	 529.3	  31.0	48.0	0	1	0
1380.8	1492.7	 420.8	  16.0	41.0	0	1	0
1711.3	 894.2	 415.8	   0.0	40.5	0	1	0
2125.4	2038.3	 574.4	  15.8	37.5	0	1	0
3295.6	2674.0	 758.6	  10.3	48.5	0	1	0
 583.8	1565.7	 363.0	   4.3	42.0	0	1	0
 861.5	1300.0	 514.3	   2.2	44.0	0	1	0
1662.3	3500.0	 939.3	   0.0	61.5	0	1	0
5858.1	3061.0	 918.1	   5.5	55.0	0	1	0
1086.9	1704.3	 753.6	  20.7	54.0	0	1	0
1303.5	1350.0	 721.3	   8.8	40.5	0	1	0
1252.2	1307.3	 657.7	  18.7	36.5	0	1	0
2271.6	1690.2	 916.9	  24.8	41.0	0	1	0
1232.5	 441.0	 759.5	  61.5	67.5	0	1	0
2993.6	2987.2	 900.8	   4.8	45.5	0	1	0
1323.6	5141.4	 595.4	   2.8	42.0	0	1	0
2837.6	4854.0	 727.8	   1.2	42.0	0	1	0
2239.4	 727.5	 831.7	   0.0	46.0	0	1	0
2137.3	1062.8	 616.1	  32.7	46.5	0	1	0
1040.3	 762.2	 667.1	   5.0	44.0	0	1	0
2275.4	2131.3	 713.6	  31.3	45.5	0	1	0
4320.8	4611.7	 965.8	  27.7	50.5	0	1	0
3692.6	2908.0	 509.3	   6.5	51.5	0	1	0
2369.4	2368.3	 819.6	   0.0	44.5	0	1	0
2379.5	1599.5	 767.0	  13.5	45.0	0	1	0
1692.6	2516.7	 723.6	  31.0	54.0	0	1	0
1012.6	1207.3	 600.9	   3.0	67.0	0	1	0
3769.9	1943.5	 537.2	   0.0	44.5	0	1	0
1806.0	2768.4	 765.6	  21.2	45.5	0	1	0
2846.1	1162.2	 828.3	  10.4	39.0	0	1	0
2176.2	1200.8	 855.4	  35.2	42.0	0	1	0
1353.7	1478.0	 738.1	  55.8	41.0	0	1	0
1441.9	1555.5	 881.9	  32.0	35.0	0	1	0
1339.6	1714.0	 970.6	  51.3	53.5	0	1	0
1494.9	 875.0	 769.5	   3.2	42.5	0	1	0
 887.6	 434.2	 529.6	   0.0	36.5	0	1	0
1251.4	 759.5	 815.6	  22.0	42.5	0	1	0
1741.2	 814.3	1195.7	  15.0	50.0	0	1	0
1750.5	 868.5	 931.0	  48.0	42.5	0	1	0
2522.7	 223.3	1774.4	  38.0	48.0	0	1	0
1314.8	1264.5	 711.5	   8.0	42.5	0	1	0
1595.5	 874.3	1087.2	   7.0	55.0	0	1	0
4284.6	1285.3	3893.6	  17.7	41.5	0	1	0
1373.8	 664.8	1247.0	  31.4	48.0	0	1	0
1075.5	 848.8	 793.7	  15.2	31.5	0	1	0
1560.5	1347.8	 860.3	   3.4	37.0	0	1	0
1430.6	 851.7	 891.9	  12.5	31.5	0	1	0
1806.4	1029.2	1069.9	  35.7	42.5	0	1	0
1391.1	1608.0	1014.1	   7.7	83.5	0	1	0
1382.1	 942.4	 871.1	   8.4	44.5	0	1	0
1940.0	 918.7	1196.3	  10.5	52.0	0	1	0
3140.2	 181.5	1580.5	  54.3	51.5	0	1	0
1532.4	 752.3	 997.7	  28.3	76.5	0	1	0
2268.4	1291.2	1190.2	   8.3	49.0	0	1	0
2143.2	 770.7	1363.0	  18.2	34.5	0	1	0
1198.0	 583.6	 836.6	   4.8	45.0	0	1	0
1290.2	 593.5	1002.5	  23.0	35.0	0	1	0
1830.8	1549.8	1163.2	  11.0	45.0	0	1	0
2622.2	1371.0	1658.8	  22.0	60.0	0	1	0
1563.7	 909.4	 889.9	  13.2	41.0	0	1	0
1889.6	1082.2	 804.8	  18.8	30.0	0	1	0
3044.1	2216.3	 898.3	  18.0	42.5	0	1	0
1771.1	1620.5	1161.8	  40.3	46.0	0	1	0
1262.2	1282.2	 966.5	  32.8	46.5	0	1	0
1681.7	1226.0	 692.7	  53.3	51.5	0	1	0
1010.8	2003.8	 571.0	   0.7	45.5	0	1	0
2225.3	2055.7	 457.1	  50.3	45.5	0	1	0
1159.8	 983.5	 372.0	  31.0	43.5	0	1	0
 942.9	1409.0	 510.6	   6.3	44.5	0	1	0
 796.3	1288.3	 461.3	   4.0	46.5	0	1	0
 800.9	 749.0	 313.9	  12.7	40.0	0	1	0
1100.4	1589.5	 567.3	  26.8	44.5	0	1	0
2227.8	1574.5	1179.0	  30.2	39.5	0	1	0
1721.3	1223.6	1248.7	  47.6	48.0	0	1	0
1662.8	1100.7	1262.5	  18.7	41.5	0	1	0
2182.7	 884.8	1858.1	  25.2	52.5	0	1	0
 608.9	 887.6	 410.9	  33.2	44.0	0	1	0
 550.0	 712.0	 435.8	   6.2	32.0	0	1	0
 517.4	 403.3	 322.7	   8.0	51.0	0	1	0
 422.9	 672.1	 335.6	   4.6	56.0	0	1	0
 589.9	1344.2	 467.5	   8.0	43.5	0	1	0
 603.6	 636.7	 390.6	   5.2	53.5	0	1	0
1760.6	 970.6	1054.8	  40.2	44.5	0	1	0
 935.5	 524.6	 772.1	  19.0	38.0	0	1	0
1490.6	1049.0	1031.1	  20.8	33.0	0	1	0
1149.1	1033.5	 798.9	  28.2	53.5	0	1	0
1674.9	1363.5	1026.6	  24.7	35.5	0	1	0
2649.3	2630.7	1415.7	  56.0	50.0	0	1	0
1355.7	1044.3	 905.5	  19.0	51.5	0	1	0
1513.3	 717.3	1060.0	  41.7	31.5	0	1	0
1019.0	 825.5	 793.5	   0.0	39.5	0	1	0
2292.0	1306.2	 970.3	  16.0	39.0	0	1	0
1589.8	1297.4	 903.2	  25.2	40.0	0	1	0
2566.1	1883.2	1100.7	 112.6	48.0	0	1	0
1664.9	1329.6	 951.7	  42.2	46.0	0	1	0
 594.0	 439.5	 391.3	   0.5	41.0	0	1	0
 901.2	 552.2	 300.8	   7.0	35.0	0	1	0
 893.7	 750.0	 567.2	  21.2	37.0	0	1	0
 360.7	 603.7	 279.5	  12.2	46.0	0	1	0
1105.0	1014.5	 729.3	   5.5	40.5	0	1	0
1113.6	 934.2	 610.1	  17.7	54.0	0	1	0
 563.0	 600.2	 449.8	  26.2	42.5	0	1	0
1197.1	1145.0	 612.1	  32.0	30.5	0	1	0
1075.6	1102.0	 623.8	  15.4	41.5	0	1	0
1050.7	1038.3	 578.0	  11.0	43.5	0	1	0
 981.3	 758.7	 573.3	  35.0	36.0	0	1	0
 784.1	 833.3	 543.8	  22.5	40.0	0	1	0
 773.6	 419.8	 346.4	  25.4	41.0	0	1	0
1311.5	 942.0	 741.3	  18.3	43.5	0	1	0
 928.6	 931.3	 636.1	  16.5	38.5	0	1	0
1043.7	 598.0	 618.5	   0.0	51.0	0	1	0
 962.7	1156.5	 465.2	  27.5	63.5	0	1	0
 665.7	 602.2	 514.5	  34.0	49.0	0	1	0
 978.9	 327.2	 480.7	  20.4	47.5	0	1	0
1455.1	 673.0	 755.4	  43.5	37.0	0	1	0
 894.0	 617.5	 678.0	  56.8	47.5	0	1	0
1645.7	 927.0	1164.2	 109.5	68.5	0	1	0
 777.0	 330.4	 457.0	   9.0	47.5	0	1	0
 955.2	1016.0	 623.2	  43.0	50.0	0	1	0
1164.2	 934.7	 463.8	  17.0	50.0	0	1	0
 513.5	 359.0	 375.1	  17.0	58.0	0	1	0
 410.7	 416.7	 151.5	  14.5	56.5	0	1	0
 873.9	 654.5	 466.4	  30.5	52.5	0	1	0
 720.0	 651.3	 405.7	  16.3	56.5	0	1	0
1541.9	 705.0	 568.9	  27.0	57.0	0	1	0
 672.2	 309.7	 338.7	  15.0	37.5	0	1	0
 810.2	 691.8	 270.9	  12.2	45.0	0	1	0
 940.1	 881.3	 332.8	   7.0	46.0	0	1	0
2998.1	1741.8	 547.3	  34.0	39.0	0	1	0
1230.6	1884.6	 678.6	  76.6	44.5	0	1	0
3988.6	3560.5	 388.1	  22.8	38.0	0	1	0
1259.6	1256.8	 503.6	  22.4	46.0	0	1	0
 664.3	 780.8	 335.3	   7.0	49.0	0	1	0
 845.3	1488.0	 582.3	   6.0	57.0	0	1	0
2639.9	 767.3	1064.4	  31.5	40.0	0	1	0
 756.5	 794.7	 386.5	  49.0	34.5	0	1	0
 874.2	 877.2	 288.2	  26.0	39.0	0	1	0
 730.6	 738.0	 516.6	  37.0	28.0	0	1	0
 566.9	 713.8	 358.1	  32.0	40.0	0	1	0
 436.0	 738.7	 241.3	  11.0	60.0	0	1	0
 420.1	 756.2	 227.1	  12.5	45.5	0	1	0
 495.3	 858.0	 232.3	  35.0	30.5	0	1	0
1037.0	 834.2	 542.8	  20.5	44.0	0	1	0
1126.6	 904.6	 479.8	  12.6	44.5	0	1	0
1450.7	 960.2	 484.5	  16.6	39.0	0	1	0
 756.2	 750.8	 447.7	  23.0	40.5	0	1	0
1429.5	 917.2	 440.0	  11.2	56.5	0	1	0
1218.8	 878.7	 707.8	  14.0	34.0	0	1	0
1158.1	1056.7	 934.1	  55.7	48.5	0	1	0
1131.2	1003.7	 671.2	  31.2	39.0	0	1	0
1414.3	 859.7	 695.0	  34.0	31.0	0	1	0
 823.6	 852.0	 607.6	  34.7	53.0	0	1	0
 663.0	 895.6	 533.4	  20.8	41.5	0	1	0
 934.2	 597.0	 597.9	  34.0	44.5	0	1	0
1088.0	 923.5	 758.8	  32.8	48.0	0	1	0
3789.8	2183.7	1257.8	  51.3	46.5	0	1	0
 865.9	1067.2	 598.3	  38.8	33.5	0	1	0
